"name";"title";"description";"url_page";"api_url"
"base_page";"";"";"https://preprod.softmg.ru/";"https://preprod.softmg.ru/api/v2/page/main"
"uslugi";"Услуги";"";"https://preprod.softmg.ru/uslugi/";"https://preprod.softmg.ru/api/v2/page/offers"
"calculator";"Калькулятор услуг";"";"https://preprod.softmg.ru/calculator/";"https://preprod.softmg.ru/api/v2/page/calculator"
"examples";"Кейсы";"";"https://preprod.softmg.ru/examples/";"https://preprod.softmg.ru/api/v2/page/examples"
"about-company";"О компании Soft Media Group";"";"https://preprod.softmg.ru/about-company/";"https://preprod.softmg.ru/api/v2/page/about-company"
"contacts";"Контакты";"";"https://preprod.softmg.ru/contacts/";""
"development";"Разработка сайтов";"";"https://preprod.softmg.ru/development/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development"
"it-autstaffing";"Аутстаффинг IT-специалистов";"";"https://preprod.softmg.ru/it-autstaffing/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/it-autstaffing"
"outsource";"Аутсорс IT";"";"https://preprod.softmg.ru/outsource/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/outsource"
"application-development";"Разработка приложений";"";"https://preprod.softmg.ru/application-development/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/application-development"
"razrabotka-ai";"Искусственный интеллект для бизнеса – решения, которые работают";"";"https://preprod.softmg.ru/razrabotka-ai/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/razrabotka-ai"
"biznes-agenty";"Разработка ИИ агентов для бизнеса";"";"https://preprod.softmg.ru/razrabotka-ai/biznes-agenty/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/razrabotka-ai/biznes-agenty"
"chat-boty";"Чат-боты для бизнеса";"";"https://preprod.softmg.ru/razrabotka-ai/chat-boty/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/razrabotka-ai/chat-boty"
"razrabotka-po";"Разработка ПО";"";"https://preprod.softmg.ru/razrabotka-po/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/razrabotka-po"
"devops";"DevOps: стабильная работа и быстрое развитие ваших IT-систем";"";"https://preprod.softmg.ru/uslugi/devops/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/uslugi/devops"
"support";"Сопровождение и поддержка сайтов";"";"https://preprod.softmg.ru/support/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/support"
"promotion";"Поисковое продвижение";"Поисковое продвижение";"https://preprod.softmg.ru/promotion/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/promotion"
"other_services";"Услуги";"";"https://preprod.softmg.ru";""
"article";"Статьи";"";"https://preprod.softmg.ru/article/";"https://preprod.softmg.ru/api/v2/page/articles"
"news";"Новости компании";"";"https://preprod.softmg.ru/news/";"https://preprod.softmg.ru/api/v2/page/news"
"reviews";"Отзывы";"";"https://preprod.softmg.ru/reviews/";"https://preprod.softmg.ru/api/v2/page/reviews"
"vakansii";"Карьера в SMG";"";"https://preprod.softmg.ru/vakansii/";"https://preprod.softmg.ru/api/v2/page/vakansii"
"referral";"Реферальная программа ГК Soft Media Group";"";"https://preprod.softmg.ru/referral/";"https://preprod.softmg.ru/api/v2/page/referral"
"development_framework";"Cайты на фреймворке";"";"https://preprod.softmg.ru/development/framework/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/framework"
"development_corporate";"Создание корпоративного сайта";"";"https://preprod.softmg.ru/development/corporate/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/corporate"
"development_shop";"Создание интернет-магазина";"";"https://preprod.softmg.ru/development/shop/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/shop"
"development_interactive";"Создание интерактивных сайтов";"";"https://preprod.softmg.ru/development/interactive/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/interactive"
"development_design";"Разработка дизайна сайта";"";"https://preprod.softmg.ru/development/design/";""
"development_card";"Создание сайта-визитки";"";"https://preprod.softmg.ru/development/card/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/card"
"landing";"Разработка сайтов Landing Page";"";"https://preprod.softmg.ru/development/landing-page/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/landing-page"
"application_ios";"Создание приложений для iOS";" ";"https://preprod.softmg.ru/application-development/ios/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/application-development/ios"
"application_android";"Создание приложений под Android";" ";"https://preprod.softmg.ru/application-development/android/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/application-development/android"
"development_backbone";"Разработка приложений на Backbone";" ";"https://preprod.softmg.ru/development/backbone/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/backbone"
"application_mongodb";"MongoDB";"";"https://preprod.softmg.ru/application-development/mongodb/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/application-development/mongodb"
"application_java";"Разработка приложений на Java";"";"https://preprod.softmg.ru/application-development/java/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/application-development/java"
"application_smartphone";"Приложения для смартфонов";"";"https://preprod.softmg.ru/application-development/smartphone/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/application-development/smartphone"
